contestant_id,season_number,contestant_name,Episode,Wig_Removed,Death_Drop,Outfit_Reveal,Quality_of_outfit,Merle,Michelle,Santino,Ross,Carson,Do_they_know_words,Outfit_Reveal_1,Gender,Race,Body_Type,Type_Queen,Sewing,Dancing,Singing,Lip_Sync_Ass,Expressed_Hardship,episode_number,episode_airdate,episode_title,episode_type,episode_maxi_challenge_type,numqueen,sumqueen,contestant_entrance,age,hometown_city,hometown_state,season_outcome,handle_instagram,handle_twitter,numepisode,episode_placement,OUTCOME_LOSS,season,nickname,runwaytheme,minic,minicw1,minicw2,minicw3,bottom1,bottom2,bottom3,bottom4,bottom5,bottom6,lipsyncartist,lipsyncsong,eliminated1,eliminated2,notes,airdate,special,finale,numqueens,rank,contestant,outcome,eliminated,participant,minichalw,penultimate,dob,hometown,minicwins,numcontests,perc_high,perc_win,perc_winhigh,perc_low,perc_btm,perc_lowbtm,num_high,num_win,num_winhigh,num_btm,num_low,num_lowbtm,db_score,points,ppe
1,1,Shannel,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,SAFE,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,4,Shannel,SAFE,0,1,0,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
1,1,Shannel,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,1,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,HIGH,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,4,Shannel,SAFE,0,1,0,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
1,1,Shannel,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,1,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,BTM2,0,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,4,Shannel,BTM,0,1,0,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
1,1,Shannel,4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,1,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,LOW,0,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,4,Shannel,LOW,0,1,0,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
1,1,Shannel,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,HIGH,0,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,4,Shannel,HIGH,0,1,0,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
1,1,Shannel,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,6,03/09/2009,Absolut Drag Ball,Competition,Ball,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,ELIM,1,S01,Absolut Drag Ball,,Vogue posing challenge,Nina Flowers,,,Rebecca Glasscock,Shannel,,,,,Mary Mary,Praise You,Shannel,,,2009-03-09,0,0,4,4,Shannel,BTM,1,1,0,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
1,1,Shannel,7,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0,1,7,03/16/2009,Extra Special Edition,Recap,,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,,,S01,Extra Special Edition,,,,,,,,,,,,,,,,,2009-03-16,1,,,4,Shannel,,,,,,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
1,1,Shannel,8,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,8,03/23/2009,Grande Finale,Finale,,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,,,S01,Grande Finale,,,,,,Rebecca Glasscock,,,,,,RuPaul,Cover Girl (Put the Bass in Your Walk),Rebecca Glasscock,,Finale. Bebe Zahara Benet wins S1.,2009-03-23,0,1,3,4,Shannel,NA,NA,0,NA,0,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
1,1,Shannel,9,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0,1,9,03/23/2009,Re-United!,Reunion,,9,0,1,26,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial,9,Guest,,S01,Re-United!,,,,,,,,,,,,,,,,,2009-03-23,1,,,4,Shannel,,,,,,7123,"Las Vegas, Nevada",0,6,0.166666667,0,0.166666667,0.166666667,0.333333333,0.5,1,0,1,2,1,3,-4,-4,-0.666666667
2,1,Nina Flowers,1,1,0,0,0,0,1,1,0,0,1,0,0,2,0,2,1,1,0,0,0,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,WIN,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,2,Nina Flowers,WIN,0,1,0,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
2,1,Nina Flowers,2,0,0,0,1,1,0,1,0,0,1,0,0,2,0,2,1,1,0,0,0,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,HIGH,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,2,Nina Flowers,SAFE,0,1,0,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
2,1,Nina Flowers,3,0,0,0,0,1,0,1,0,0,1,0,0,2,0,2,1,1,0,0,0,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,HIGH,0,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,2,Nina Flowers,HIGH,0,1,0,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
2,1,Nina Flowers,4,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,1,1,0,0,0,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,HIGH,0,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,2,Nina Flowers,HIGH,0,1,0,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
2,1,Nina Flowers,5,0,0,0,1,0,1,1,0,0,1,0,0,2,0,2,1,1,0,0,0,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,LOW,0,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,2,Nina Flowers,LOW,0,1,0,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
2,1,Nina Flowers,6,0,0,0,0,0,1,1,0,0,1,0,0,2,0,2,1,1,0,0,0,6,03/09/2009,Absolut Drag Ball,Competition,Ball,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,HIGH,0,S01,Absolut Drag Ball,,Vogue posing challenge,Nina Flowers,,,Rebecca Glasscock,Shannel,,,,,Mary Mary,Praise You,Shannel,,,2009-03-09,0,0,4,2,Nina Flowers,HIGH,0,1,1,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
2,1,Nina Flowers,7,0,0,0,0,0,1,1,0,0,1,0,0,2,0,2,1,1,0,0,0,7,03/16/2009,Extra Special Edition,Recap,,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,,,S01,Extra Special Edition,,,,,,,,,,,,,,,,,2009-03-16,1,,,2,Nina Flowers,,,,,,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
2,1,Nina Flowers,8,0,0,0,1,0,1,1,0,0,0,0,0,2,0,2,1,1,0,0,0,8,03/23/2009,Grande Finale,Finale,,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,Runner-up,1,S01,Grande Finale,,,,,,Rebecca Glasscock,,,,,,RuPaul,Cover Girl (Put the Bass in Your Walk),Rebecca Glasscock,,Finale. Bebe Zahara Benet wins S1.,2009-03-23,0,1,3,2,Nina Flowers,HIGH,0,1,0,0,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
2,1,Nina Flowers,9,0,0,0,0,0,1,1,0,0,1,0,0,2,0,2,1,1,0,0,0,9,03/23/2009,Re-United!,Reunion,,9,0,2,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers,9,Miss C,,S01,Re-United!,,,,,,,,,,,,,,,,,2009-03-23,1,,,2,Nina Flowers,,,,,,5166,"BayamÃ³n, Puerto Rico",1,6,0.5,0.166666667,0.666666667,0.166666667,0,0.166666667,3,1,4,0,1,1,4,4,0.666666667
3,1,Rebecca Glasscock,1,0,0,0,1,0,1,0,0,1,1,0,0,2,0,1,1,0,0,1,1,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,LOW,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,3,Rebecca Glasscock,LOW,0,1,0,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
3,1,Rebecca Glasscock,2,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,1,0,0,1,1,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,HIGH,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,3,Rebecca Glasscock,SAFE,0,1,0,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
3,1,Rebecca Glasscock,3,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,1,0,0,1,1,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,SAFE,0,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,3,Rebecca Glasscock,HIGH,0,1,0,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
3,1,Rebecca Glasscock,4,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,1,0,0,1,1,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,BTM2,0,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,3,Rebecca Glasscock,BTM,0,1,0,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
3,1,Rebecca Glasscock,5,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,1,0,0,1,1,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,WIN,0,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,3,Rebecca Glasscock,WIN,0,1,1,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
3,1,Rebecca Glasscock,6,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,1,0,0,1,1,6,03/09/2009,Absolut Drag Ball,Competition,Ball,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,BTM2,0,S01,Absolut Drag Ball,,Vogue posing challenge,Nina Flowers,,,Rebecca Glasscock,Shannel,,,,,Mary Mary,Praise You,Shannel,,,2009-03-09,0,0,4,3,Rebecca Glasscock,BTM,0,1,0,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
3,1,Rebecca Glasscock,7,0,0,0,1,0,1,1,0,0,1,0,0,2,0,1,1,0,0,1,1,7,03/16/2009,Extra Special Edition,Recap,,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,,,S01,Extra Special Edition,,,,,,,,,,,,,,,,,2009-03-16,1,,,3,Rebecca Glasscock,,,,,,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
3,1,Rebecca Glasscock,8,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,1,0,0,1,1,8,03/23/2009,Grande Finale,Finale,,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,Eliminated,1,S01,Grande Finale,,,,,,Rebecca Glasscock,,,,,,RuPaul,Cover Girl (Put the Bass in Your Walk),Rebecca Glasscock,,Finale. Bebe Zahara Benet wins S1.,2009-03-23,0,1,3,3,Rebecca Glasscock,BTM,1,1,0,0,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
3,1,Rebecca Glasscock,9,0,0,0,1,0,1,1,0,0,1,0,0,2,0,1,1,0,0,1,1,9,03/23/2009,Re-United!,Reunion,,9,0,3,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc,9,Guest,,S01,Re-United!,,,,,,,,,,,,,,,,,2009-03-23,1,,,3,Rebecca Glasscock,,,,,,8545,"Fort Lauderdale, Florida",1,6,0.166666667,0.166666667,0.333333333,0.166666667,0.333333333,0.5,1,1,2,2,1,3,-2,-2,-0.333333333
4,1,Ongina,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,2,1,1,0,0,1,1,02/02/2009,Drag on a Dime,Competition,Sewing,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,HIGH,0,S01,Drag on a Dime,,,,,,Akashia,Victoria (Porkchop) Parker,,,,,RuPaul,Supermodel,Victoria (Porkchop) Parker,,,2009-02-02,0,0,9,5,Ongina,HIGH,0,1,0,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
4,1,Ongina,2,0,0,0,1,1,0,1,0,0,1,0,0,3,0,2,1,1,0,0,1,2,02/09/2009,Girl Group Challenge,Competition,Lipsync,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,WIN,0,S01,Girl Group Challenge,,Act out emotions,Ongina,Akashia,,Akashia,Tammie Brown,,,,,Michelle Williams,We Break the Dawn,Tammie Brown,,,2009-02-09,0,0,8,5,Ongina,WIN,0,1,0,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
4,1,Ongina,3,0,0,0,0,1,0,1,0,0,1,0,0,3,0,2,1,1,0,0,1,3,02/16/2009,Queens of All Media,Competition,Talk Show,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,HIGH,0,S01,Queens of All Media,,,,,,Akashia,Shannel,,,,,Whitney Houston,The Greatest Love of All,Akashia,,,2009-02-16,0,0,7,5,Ongina,HIGH,0,1,0,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
4,1,Ongina,4,1,0,0,0,0,1,0,0,0,1,0,0,3,0,2,1,1,0,0,1,4,02/23/2009,Mac Viva-Glam Challenge,Competition,Commercial,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,WIN,0,S01,Mac Viva-Glam Challenge,,30 Minutes to do partner's makeup,Jade,,,Jade,Rebecca Glasscock,,,,,The Eurythmics,Would I Lie to You?,Jade,,,2009-02-23,0,0,6,5,Ongina,WIN,0,1,0,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
4,1,Ongina,5,0,0,0,0,0,1,1,0,0,1,0,0,3,0,2,1,1,0,0,1,5,03/02/2009,Drag School of Charm,Competition,Makeover,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,ELIM,1,S01,Drag School of Charm,,Exercise/endurance challenge,Rebecca Glasscock,,,Bebe Zahara Benet,Ongina,,,,,Britney Spears,Stronger,Ongina,,,2009-03-02,0,0,5,5,Ongina,BTM,1,1,0,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
4,1,Ongina,6,0,0,0,1,0,1,1,0,0,1,0,0,3,0,2,1,1,0,0,1,6,03/09/2009,Absolut Drag Ball,Competition,Ball,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,,,S01,Absolut Drag Ball,,Vogue posing challenge,Nina Flowers,,,Rebecca Glasscock,Shannel,,,,,Mary Mary,Praise You,Shannel,,,2009-03-09,0,0,4,5,Ongina,NA,NA,0,NA,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
4,1,Ongina,7,0,0,0,0,0,1,1,0,0,1,0,0,3,0,2,1,1,0,0,1,7,03/16/2009,Extra Special Edition,Recap,,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,,,S01,Extra Special Edition,,,,,,,,,,,,,,,,,2009-03-16,1,,,5,Ongina,,,,,,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
4,1,Ongina,8,0,0,0,0,0,1,1,0,0,1,0,0,3,0,2,1,1,0,0,1,8,03/23/2009,Grande Finale,Finale,,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,,,S01,Grande Finale,,,,,,Rebecca Glasscock,,,,,,RuPaul,Cover Girl (Put the Bass in Your Walk),Rebecca Glasscock,,Finale. Bebe Zahara Benet wins S1.,2009-03-23,0,1,3,5,Ongina,NA,NA,0,NA,0,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
4,1,Ongina,9,0,0,0,0,0,1,1,0,0,1,0,0,3,0,2,1,1,0,0,1,9,03/23/2009,Re-United!,Reunion,,9,0,4,26,Los Angeles,California,5,ongina,ongina,9,Guest,,S01,Re-United!,,,,,,,,,,,,,,,,,2009-03-23,1,,,5,Ongina,,,,,,8041,"Los Angeles, California",1,5,0.4,0.4,0.8,0,0.2,0.2,2,2,4,1,0,1,4,4,0.8
